Name,Code,Region,State,Year,Month,Visit,Latitude,Longitude
Acadia NP,ACAD,Northeast ,ME,1979,1,6011,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,2,5243,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,3,11165,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,4,219351,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,5,339416,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,6,543205,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,7,383341,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,8,466928,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,9,320138,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,10,300976,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,11,183750,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1979,12,7842,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,1,8966,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,2,8225,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,3,7505,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,4,182879,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,5,209301,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,6,359552,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,7,533885,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,8,633067,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,9,282636,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,10,332937,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,11,200461,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1980,12,20252,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,1,23330,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,2,16207,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,3,21923,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,4,188071,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,5,212500,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,6,366518,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,7,545981,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,8,616233,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,9,463823,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,10,313788,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,11,203741,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1981,12,25857,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1982,1,21425,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1982,2,22210,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1982,3,36866,44.35,-68.21
